aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
134.16,201.0,1186.8296,-1.6243999,205.0,23.2,378.0,1222.0,9.139724,0.35687023,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1204.2644,-1.6243999,205.0,23.2,378.0,1222.0,8.955372,0.35687023,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1212.2224,-1.6089,205.0,23.2,378.0,1222.0,12.122441,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1358.5732,-1.6089,205.0,23.2,378.0,1222.0,12.76458,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1279.1176,-1.6089,205.0,23.2,378.0,1222.0,11.372579,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1217.2542,-1.6089,205.0,23.2,378.0,1222.0,11.611414,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1124.8278,-1.6089,205.0,23.2,378.0,1222.0,15.815343,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1083.4562,-1.6089,205.0,23.2,378.0,1222.0,20.899683,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1118.4452,-1.6089,205.0,23.2,378.0,1222.0,16.000996,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1068.6278,-1.6089,205.0,23.2,378.0,1222.0,13.736844,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1323.1954,-1.6243999,205.0,23.2,378.0,1222.0,7.5129433,0.35687023,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1380.8518,-1.6243999,205.0,23.2,378.0,1222.0,7.0881023,0.35687023,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1486.9231,-1.6089,205.0,23.2,378.0,1222.0,12.924638,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1522.0796,-1.6089,205.0,23.2,378.0,1222.0,18.546682,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
134.16,201.0,1493.8793,-1.6089,205.0,23.2,378.0,1222.0,11.864051,0.3603083,2.0,10.0,0.19,0.87,0.88,0.78,0.44,0.46,0.56
